SOURCE,ID_SURV,ID_SITE,x,y,PRES_COEL,PRES_COER,PRES_GUAC,PRES_HERB,PRES_GRIS,PRES_SCIU,PRES_INVERT
RVC,1175U_1_2016,1175U_1,570807.6805381693,2778694.16247865,0,0,0,0,1,1,1
RVC,1175U_2_2016,1175U_2,570818.8796388762,2778673.1804075493,0,0,0,0,1,1,1
RVC,1176U_2_2016,1176U_2,570858.1614372475,2778873.822148972,0,0,0,0,1,1,1
RVC,1176U_1_2016,1176U_1,570847.1008432537,2778868.2276001084,1,0,0,1,1,0,1
RVC,1178U_2_2016,1178U_2,570222.7375312534,2777561.597353338,0,1,0,1,1,0,1
RVC,1184U_2_2016,1184U_2,579650.425027066,2790032.075488603,0,0,0,0,1,1,1
RVC,1189U_1_2016,1189U_1,579529.3168087447,2795551.8956497167,0,0,0,0,1,1,1
RVC,1189U_2_2016,1189U_2,579515.1158384096,2795569.5309854955,0,0,0,0,1,1,1
RVC,1193U_1_2016,1193U_1,558948.1248479453,2763423.700984422,0,0,0,0,1,1,1
RVC,1203U_2_2016,1203U_2,574282.216463714,2780288.51658828,0,0,0,0,1,1,1
RVC,1204U_2_2016,1204U_2,574827.4119611607,2781051.1827657553,1,0,0,1,1,1,1
RVC,1204U_1_2016,1204U_1,574843.4602996599,2781065.667338482,1,0,0,1,1,1,1
RVC,1205U_2_2016,1205U_2,565821.5971860767,2768815.75021588,0,0,0,0,1,1,1
RVC,1205U_1_2016,1205U_1,565822.6327320705,2768810.2183915777,0,0,0,0,1,1,1
RVC,1216U_1_2016,1216U_1,578278.4028491187,2788813.6639098153,0,0,0,0,1,0,1
RVC,1216U_2_2016,1216U_2,578305.4747995218,2788835.9687532303,0,0,0,0,1,1,1
RVC,1219U_2_2016,1219U_2,563901.833161074,2767274.0511807203,0,0,0,0,1,1,1
RVC,1222U_2_2016,1222U_2,578131.5530593685,2788597.9768732833,0,0,0,0,1,1,1
RVC,1222U_1_2016,1222U_1,578167.5710819444,2788641.3739729845,0,0,0,0,1,1,1
RVC,1230U_2_2016,1230U_2,581653.1853740624,2793514.6987714283,0,0,0,0,1,0,1
RVC,1234U_1_2016,1234U_1,574406.8809348139,2780533.9333968074,0,0,0,0,1,1,1
RVC,1234U_2_2016,1234U_2,574426.1301919254,2780516.3203892526,0,0,1,1,1,1,1
RVC,1236U_2_2016,1236U_2,562866.0896159868,2766068.876677338,0,0,0,0,1,1,1
RVC,1236U_1_2016,1236U_1,562882.1989909936,2766076.702215371,0,1,0,1,1,1,1
RVC,1245U_2_2016,1245U_2,494697.3956466194,2731351.071890141,0,0,0,0,1,1,1
RVC,1245U_1_2016,1245U_1,494681.20047379716,2731324.5043000462,0,0,0,0,1,1,1
RVC,1246U_2_2016,1246U_2,527434.9646840384,2746998.464582506,0,0,0,0,1,1,1
RVC,1247U_2_2016,1247U_2,545019.7651735384,2758690.194039138,0,1,0,1,1,1,1
RVC,1247U_1_2016,1247U_1,544977.2900489529,2758712.2009094413,1,1,1,1,1,1,1
RVC,1255U_2_2016,1255U_2,545413.7801777169,2757692.698540983,0,1,0,1,1,1,1
RVC,1255U_1_2016,1255U_1,545416.7541750072,2757709.318037352,0,0,0,0,1,1,1
RVC,1256U_1_2016,1256U_1,545667.8450929613,2758107.6760122743,0,0,0,0,1,1,1
RVC,1256U_2_2016,1256U_2,545669.9380671727,2758085.53675662,1,1,0,1,1,1,1
RVC,1260U_1_2016,1260U_1,502467.2720801327,2730932.848108286,0,0,0,0,1,0,1
RVC,1260U_2_2016,1260U_2,502499.6360327992,2730971.6073148064,0,0,0,0,1,0,1
RVC,1261U_2_2016,1261U_2,503532.2551550511,2731808.9060361898,1,0,1,1,1,1,1
RVC,1261U_1_2016,1261U_1,503565.63244464755,2731821.0942350524,0,1,1,1,1,1,1
RVC,1277U_2_2016,1277U_2,519199.5027310364,2735709.300626795,0,1,1,1,1,1,1
RVC,1278U_2_2016,1278U_2,519868.68027212203,2735897.3704575696,0,1,0,1,1,0,1
RVC,1278U_1_2016,1278U_1,519887.882590472,2735905.148800174,0,0,0,0,1,0,1
