OBJECTID,NAME,ZONE_TYPE,REGULATION,AREA,MIN_ALL,MAX_ALL,RANGE_ALL,MEAN_ALL,STD_ALL,SUM_ALL,MEDIAN_ALL,PCT90_ALL,PCT10_ALL,MIN_INV,MAX_INV,RANGE_INV,MEAN_INV,STD_INV,SUM_INV,MEDIAN_INV,PCT90_INV,PCT10_INV,MIN_SCA,MAX_SCA,RANGE_SCA,MEAN_SCA,STD_SCA,SUM_SCA,MEDIAN_SCA,PCT90_SCA,PCT10_SCA
23,Woman Key Wildlife Management Area,WMA,No Entry,33325,0.158015803,0.704107404,0.546091601,0.484316546,0.11455386,645.5939557,0.486771971,0.643526125,0.321705353,0.262918502,0.998983979,0.736065477,0.798349321,0.156061738,1064.199646,0.827010989,0.980022848,0.568905723,0.087486833,0.537059307,0.449572474,0.274961363,0.109201058,366.5234968,0.25506568,0.452006197,0.14704335
24,West Content Keys Wildlife Management Area,WMA,No Access,187950,0.116690323,0.663222015,0.546531692,0.286364366,0.134555274,2152.887303,0.234564707,0.52114622,0.159330149,0.129925504,0.98228699,0.852361485,0.459749262,0.188791218,3456.394948,0.399465755,0.77828353,0.273932701,0.057305701,0.498241782,0.440936081,0.170774435,0.104612115,1283.882206,0.119443014,0.347180152,0.078411241
25,West Content Keys Wildlife Management Area,WMA,Idle Speed,208200,0.117688261,0.674933016,0.557244755,0.349577804,0.156755544,2911.283954,0.325750351,0.585400802,0.161787498,0.159672007,0.996215463,0.836543456,0.584140513,0.2340506,4864.722195,0.571048021,0.924583542,0.290261102,0.051835433,0.529075325,0.477239892,0.193202665,0.114940206,1608.991791,0.154192179,0.382055709,0.074132586
26,Upper Harbor Key Wildlife Management Area,WMA,No Access,124675,0.140878066,0.730400622,0.589522555,0.377919654,0.161785071,1884.685314,0.340363115,0.614565897,0.186046869,0.107609555,0.99840796,0.890798405,0.589827698,0.239849807,2941.47073,0.5537045,0.924204993,0.300289702,0.055301733,0.558668017,0.503366284,0.236647624,0.134356072,1180.161701,0.22055997,0.432700884,0.081955275
27,Flat South Marvin Key Wildlife Management Area,WMA,No Access,84500,0.156769067,0.667141616,0.510372549,0.367955929,0.158442168,1243.69104,0.345665723,0.60117563,0.184853236,0.135611504,0.998697996,0.863086492,0.559356516,0.304812463,1890.625023,0.614055753,0.959446949,0.164555897,0.064845867,0.447159648,0.38231378,0.240355538,0.083262483,812.4017175,0.208658449,0.374573374,0.149472703
28,Tavernier Key Wildlife Management Area,WMA,No Motor,3126050,0.074277878,0.91074717,0.836469293,0.220769228,0.13963675,27605.4258,0.173847578,0.397318441,0.112989666,0.081643097,0.998288989,0.916645892,0.33585216,0.185168691,41995.62578,0.277166754,0.614726138,0.157576601,0.054290034,0.90290463,0.848614596,0.144047273,0.127235252,18011.95915,0.100999199,0.259311503,0.079302319
29,Tavernier Key Wildlife Management Area,WMA,No Motor,985400,0.067094341,0.914696574,0.847602233,0.270976556,0.174038724,10680.81191,0.201250263,0.511566788,0.123724271,0.066616297,0.999476492,0.932860196,0.39048858,0.216291403,15391.49787,0.319426268,0.733336031,0.177457243,0.064254329,0.915599704,0.851345375,0.191301872,0.157794862,7540.354606,0.114735585,0.377894163,0.085832715
30,Snipe Keys Wildlife Management Area,WMA,Idle Speed,88225,0.164845377,0.729895771,0.565050393,0.516399635,0.109639788,1822.374311,0.532134831,0.650968242,0.352259386,0.1158043,0.99230051,0.876496211,0.659434093,0.177496483,2327.142915,0.662309527,0.892669201,0.427789015,0.077747263,0.598488986,0.520741723,0.42104333,0.110207284,1485.861911,0.449833333,0.541498542,0.244518062
31,Snipe Keys Wildlife Management Area,WMA,No Motor,24675,0.199360251,0.730667174,0.531306922,0.563791302,0.110635765,556.4620151,0.592130005,0.674081922,0.390120643,0.204202503,0.996890008,0.792687505,0.742261882,0.155877052,732.6124773,0.774693012,0.898889291,0.557472777,0.169863567,0.590067327,0.42020376,0.444810918,0.101439112,439.0283758,0.46976307,0.549063671,0.272275823
32,Snipe Keys Wildlife Management Area,WMA,No Motor,704125,0.174148127,0.742147624,0.567999497,0.515972493,0.159388362,14532.36525,0.579630733,0.681443942,0.251158208,0.139427498,0.99991852,0.860491022,0.680195672,0.227974044,19157.7111,0.75207305,0.919133496,0.295051408,0.097780533,0.609770298,0.511989765,0.406490373,0.129939421,11448.80135,0.442025959,0.556218886,0.220339489
33,Snake Creek Wildlife Management Area,WMA,No Motor,1095525,0.06960956,0.869914174,0.800304614,0.279296488,0.126093783,12239.05139,0.248332322,0.458328396,0.145544946,0.079042956,0.99990952,0.920866564,0.481887115,0.220850065,21116.77528,0.434942007,0.811225533,0.228752002,0.040592968,0.796090007,0.755497038,0.144236069,0.075050528,6320.568801,0.116811931,0.244386002,0.085815132
34,Sawyer Key Wildlife Management Area,WMA,No Entry,403275,0.151071221,0.849835575,0.698764354,0.445554035,0.148068291,7187.232142,0.44252345,0.640339971,0.24665989,0.123099498,0.99999702,0.876897521,0.689974397,0.210843166,11129.977,0.720576525,0.955863953,0.384825498,0.068846695,0.749732316,0.68088562,0.282607127,0.125687944,4558.735573,0.265914261,0.445280313,0.120605797
